Method,Wasted CPU,Reliability (%),Replica-hours/task,WastedCPU_Mean,WastedCPU_CI95,Reliability_Mean,Replica_Hours
Independence hedge choice,551730 ± 147521,98.75,0.792,551730.0,147520.50252029372,98.75232219578999,0.7919885663895498
Co-availability,575700 ± 161470,98.75,0.813,575700.0,161470.17218545347,98.75232219578999,0.8127598374334248
